name	rarity	spawnable	completed	uniqueonly	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	cost	code	alternategfx	OpenBetaGfx	ubercode	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	hasinv	gemsockets	flippyfile	invfile	uniqueinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
Girdle(H)	3	1	1	0	8	11	0	0	60	0	24	0	27	2068	hbl	hbl	hbl	zhb	0	16	8	8	2	1	0	0	flphbl	invhbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	255	1	1	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Bone Helm	4	0	1	0	33	36	0	0	25	0	40	0	22	6323	bhm	bhm	hlm	xhm	0	0	1	1	2	2	0	0	flpbhm	invbhm	invbhmu							0	0	0	0	0	37	12	1	0	5	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Bone Shield	4	0	1	0	10	30	0	0	25	20	40	0	19	3175	bsh	bsh	buc	xsh	0	7	4	5	2	3	0	0	flpbsh	invbsh	invbshu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	3	6	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Spiked Shield	4	0	1	0	15	25	0	0	30	10	40	0	11	1890	spk	spk	buc	xpk	0	7	4	5	2	3	0	0	flpspk	invspk	invspku							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	5	9	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
War Hat	1	0	1	0	45	53	0	0	20	0	12	0	26	10359	xap	cap	cap	0	0	0	1	1	2	2	1	2	flpcap	invcap								0	0	0	0	0	37	6	0	0	5	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Sallet	1	0	1	0	52	62	0	0	43	0	18	0	29	13464	xkp	skp	skp	0	0	0	1	1	2	2	1	2	flpskp	invskp								0	0	0	0	0	37	6	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Casque	1	0	1	0	63	72	0	0	59	0	24	0	33	18368	xlm	hlm	hlm	0	0	0	1	1	2	2	1	2	flphlm	invhlm	invhlmu							0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Basinet	2	0	1	0	75	84	0	0	82	0	30	0	36	23535	xhl	fhl	fhl	0	0	0	1	1	2	2	1	2	flpfhl	invfhl	invfhlu							0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Winged Helm	2	0	1	0	85	98	0	0	115	0	40	0	42	31458	xhm	ghm	ghm	0	0	0	1	1	2	2	1	2	flpghm	invghm								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Grand Crown	2	0	1	0	78	113	0	0	103	0	50	0	47	36188	xrn	crn	crn	0	0	0	1	1	2	2	1	2	flpcrn	invcrn								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Death Mask	3	0	1	0	54	86	0	0	55	0	20	0	39	22325	xsk	msk	msk	0	0	0	1	1	2	2	1	2	flpmsk	invmsk								0	0	0	0	0	37	12	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	1	2	0	0	0	0	0
Ghost Armor	1	0	1	0	102	117	0	0	38	0	20	0	26	23342	xui	qlt	qlt	0	0	1	3	3	2	3	0	0	flpqlt	invqlt		0	0	0	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Serpentskin Armor	1	0	1	0	111	126	0	0	43	0	24	0	27	26682	xea	lea	lea	0	0	1	3	3	2	3	0	0	flplea	invlea		0	0	1	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Demonhide Armor	1	0	1	0	122	136	0	0	50	0	28	0	29	30593	xla	hla	hla	0	0	1	3	3	2	3	0	0	flphla	invhla		1	1	1	0	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Trellised Armor	1	0	1	0	138	153	0	0	61	0	32	0	31	37124	xtu	stu	stu	0	0	1	3	3	2	3	0	0	flpstu	invstu		1	0	0	1	1	1	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Linked Mail	1	0	1	0	158	172	0	5	74	0	26	0	33	45068	xng	rng	rng	0	0	1	3	3	2	3	0	0	flprng	invrng		0	0	1	1	1	1	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Tigulated Mail	1	0	1	0	176	190	0	10	86	0	36	0	35	52181	xcl	scl	scl	0	0	1	3	3	2	3	0	0	flpscl	invscl		1	1	1	1	1	1	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Mesh Armor	1	0	1	0	198	213	0	5	92	0	45	0	36	61073	xhn	chn	chn	0	0	1	3	3	2	3	0	0	flpchn	invchn		1	1	1	1	2	2	0	0	0	0	0	3	7	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Cuirass	2	0	1	0	188	202	1	0	65	0	50	0	39	61476	xrs	brs	brs	0	0	1	3	3	2	3	0	0	flpbrs	invbrs		0	0	2	0	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Russet Armor	1	0	1	0	225	243	0	5	97	0	30	0	40	76574	xpl	spl	spl	0	0	1	3	3	2	3	0	0	flpspl	invspl		1	1	2	1	1	1	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Templar Coat	1	0	1	0	252	274	0	10	118	0	60	0	43	92459	xlt	plt	plt	0	0	1	3	3	2	3	0	0	flpplt	invplt		2	2	2	2	1	1	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Sharktooth Armor	3	0	1	0	242	258	2	5	103	0	48	0	46	93710	xld	fld	fld	0	0	1	3	3	2	3	0	0	flpfld	invfld		1	1	2	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Embossed Plate	3	0	1	0	282	303	0	5	125	0	55	0	49	116775	xth	gth	gth	0	0	1	3	3	2	3	0	0	flpgth	invgth		2	2	1	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Chaos Armor	1	0	1	0	315	342	2	10	140	0	70	0	53	141008	xul	ful	ful	0	0	1	3	3	2	3	0	0	flpful	invful		2	2	2	2	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Ornate Armor	4	0	1	0	417	450	5	5	170	0	60	0	55	193926	xar	aar	aar	0	0	1	3	3	2	3	0	0	flpaar	invaar	invaaru	1	2	2	2	2	0	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Mage Plate	2	0	1	0	225	261	1	0	55	0	60	0	51	101415	xtp	ltp	ltp	0	0	1	3	3	2	3	0	0	flpltp	invltp		2	0	1	1	2	2	0	0	0	0	0	3	21	0	0	5	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	8	0	0	0	0	0
Defender	1	0	1	0	41	49	0	0	38	0	12	0	26	9592	xuc	buc	buc	0	0	7	4	5	2	2	1	1	flpbuc	invbuc	invbucu							0	0	0	0	0	2	32	0	0	5	0	0	0	0	0	1	0	1	3	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	8	0	0	0	0	0
Round Shield	1	0	1	0	47	55	0	0	53	5	16	0	29	12085	xml	buc	buc	0	0	7	4	5	2	2	1	2	flpsml	invsml	invsmlu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	3	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	5	5	0	0	0	0	0
Scutum	1	0	1	0	53	61	0	5	71	12	24	0	33	15547	xrg	lrg	lrg	0	0	7	4	5	2	3	1	3	flplrg	invlrg	invlrgu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	4	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0	0	0
Dragon Shield	2	0	1	0	59	67	0	0	91	8	30	0	36	18684	xit	kit	kit	0	0	7	4	5	2	3	1	3	flpkit	invkit	invkitu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0	0	0
Pavise	2	0	1	0	68	78	1	10	133	24	60	0	42	24603	xow	tow	tow	0	0	7	4	5	2	3	1	3	flptow	invtow	invtowu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	1	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0	0	0
Ancient Shield	3	0	1	0	80	93	0	5	110	16	40	0	48	33355	xts	kit	kit	0	0	7	4	5	2	4	1	3	flpgts	invgts	invgtsu							0	0	0	0	0	2	18	0	0	5	0	0	0	0	0	1	0	2	6	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	2	2	0	0	0	0	0
Demonhide Gloves	1	0	1	0	28	35	0	0	20	0	12	0	27	7043	xlg	lgl	lgl	0	0	16	10	10	2	2	0	0	flplgl	invlgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Sharkskin Gloves	1	0	1	0	33	39	0	0	20	0	14	0	30	8918	xvg	vgl	vgl	0	0	16	10	10	2	2	0	0	flpvgl	invvgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Heavy Bracers	2	0	1	0	37	44	0	0	58	0	16	0	34	11213	xmg	mgl	mgl	0	0	16	10	10	2	2	0	0	flpmgl	invmgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Battle Gauntlets	2	0	1	0	39	47	0	0	88	0	18	0	40	13853	xtg	mgl	mgl	0	0	16	10	10	2	2	0	0	flptgl	invtgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
War Gauntlets	3	0	1	0	43	53	0	0	110	0	24	0	45	17558	xhg	hgl	hgl	0	0	16	10	10	2	2	0	0	flphgl	invhgl								0	0	0	0	0	16	10	0	0	5	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Demonhide Boots	1	0	1	0	28	35	0	0	20	0	12	0	27	7043	xlb	lbt	lbt	0	0	16	9	9	2	2	0	0	flplbt	invlbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Sharkskin Boots	1	0	1	0	33	39	0	0	47	0	14	0	30	8891	xvb	vbt	vbt	0	0	16	9	9	2	2	0	0	flpvbt	invvbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Mesh Boots	2	0	1	0	37	44	0	0	65	0	16	0	34	11205	xmb	mbt	mbt	0	0	16	9	9	2	2	0	0	flpmbt	invmbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Battle Boots	2	0	1	0	39	47	0	0	95	0	18	0	40	13845	xtb	mbt	mbt	0	0	16	9	9	2	2	0	0	flptbt	invtbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
War Boots	3	0	1	0	43	53	0	0	125	0	24	0	45	17543	xhb	hbt	hbt	0	0	16	9	9	2	2	0	0	flphbt	invhbt								0	0	0	0	0	15	4	0	0	5	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Demonhide Sash	1	0	1	0	29	34	0	0	20	0	12	0	27	7099	zlb	lbl	lbl	0	0	16	8	8	2	1	0	0	flplbl	invlbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Sharkskin Belt	1	0	1	0	31	36	0	0	20	0	14	0	30	8355	zvb	vbl	vbl	0	0	16	8	8	2	1	0	0	flpvbl	invvbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
Mesh Belt	2	0	1	0	35	40	0	0	58	0	16	0	34	10443	zmb	mbl	mbl	0	0	16	8	8	2	1	0	0	flpmbl	invmbl								0	0	0	0	0	19	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	255	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	8	0	0	0	0	0
