name	namco	level	rarity	spawnable	completed	speed	nodurability	uniqueonly	cost	code	alternategfx	spelloffset	component	bodyLoc1	bodyLoc2	invwidth	invheight	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	sound	unique	transparent	transtbl	quivered	lightradius	belt	autobelt	stackable	minstack	maxstack	quest	missiletype	spellicon	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Amazon	Paladin	Barbarian	Necromancer	Sorceress	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam
Book of Skill	Book of Skill	0	999	0	1	0	1	0	0	ass	tbk	0	16	0	0	2	2	flpbbk	invsbk			0	xxx			1	0	39	3	1	0	5	0	0	0	0	0	0	0	15	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
KhalimEye	KhalimEye	0	1	0	1	0	1	1	45	qey	eyz	0	16	0	0	1	1	flpeye	inveye			0	xxx	 	 	0	0	39	20	0	0	5	0	0	0	0	0	0	0	17	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
KhalimHeart	KhalimHeart	0	1	0	1	0	1	1	60	qhr	hrt	0	16	0	0	1	1	flphrt	invhrt			0	xxx	 	 	0	0	39	20	0	0	5	0	0	0	0	0	0	0	17	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
KhalimBrain	KhalimBrain	0	1	0	1	0	1	1	60	qbr	brz	0	16	0	0	1	1	flpbrnz	invbrnz			0	xxx	 	 	0	0	39	20	0	0	5	0	0	0	0	0	0	0	17	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Player Ear	Player Ear	0	1	0	0	0	1	0	0	ear	ear	0	16	0	0	1	1	flpear	invear			0	xxx			0	0	7	20	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Amethyst	Chipped Amethyst	0	2	1	1	0	1	0	500	gcv	gcv	0	16	0	0	1	1	flpgsv	invgsva			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfv	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Amethyst	Flawed Amethyst	0	3	1	1	0	1	0	1500	gfv	gfv	0	16	0	0	1	1	flpgsv	invgsvb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsv	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Amethyst	Amethyst	0	4	1	1	0	1	0	5000	gsv	gsv	0	16	0	0	1	1	flpgsv	invgsvc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gzv	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Amethyst	Flawless Amethyst	0	5	1	1	0	1	0	15000	gzv	gzv	0	16	0	0	1	1	flpgsv	invgsvd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpv	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Perfect Amethyst	Perfect Amethyst	0	6	1	1	0	1	0	30000	gpv	gpv	0	16	0	0	1	1	flpgsv	invgsve			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Topaz	Chipped Topaz	0	3	1	1	0	1	0	500	gcy	gcy	0	16	0	0	1	1	flpgsy	invgsya			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfy	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Topaz	Flawed Topaz	0	4	1	1	0	1	0	1500	gfy	gfy	0	16	0	0	1	1	flpgsy	invgsyb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsy	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Topaz	Topaz	0	5	1	1	0	1	0	5000	gsy	gsy	0	16	0	0	1	1	flpgsy	invgsyc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gly	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Topaz	Flawless Topaz	0	6	1	1	0	1	0	15000	gly	gly	0	16	0	0	1	1	flpgsy	invgsyd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpy	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Perfect Topaz	Perfect Topaz	0	7	1	1	0	1	0	30000	gpy	gpy	0	16	0	0	1	1	flpgsy	invgsye			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Saphire	Chipped Saphire	0	4	1	1	0	1	0	500	gcb	gcb	0	16	0	0	1	1	flpgsb	invgsba			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfb	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Saphire	Flawed Saphire	0	5	1	1	0	1	0	1500	gfb	gfb	0	16	0	0	1	1	flpgsb	invgsbb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsb	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Saphire	Saphire	0	6	1	1	0	1	0	5000	gsb	gsb	0	16	0	0	1	1	flpgsb	invgsbc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	glb	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Saphire	Flawless Saphire	0	7	1	1	0	1	0	15000	glb	glb	0	16	0	0	1	1	flpgsb	invgsbd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpb	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Perfect Saphire	Perfect Saphire	0	8	1	1	0	1	0	30000	gpb	gpb	0	16	0	0	1	1	flpgsb	invgsbe			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Emerald	Chipped Emerald	0	5	1	1	0	1	0	500	gcg	gcg	0	16	0	0	1	1	flpgsg	invgsga			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfg	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Emerald	Flawed Emerald	0	6	1	1	0	1	0	1500	gfg	gfg	0	16	0	0	1	1	flpgsg	invgsgb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsg	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Emerald	Emerald	0	7	1	1	0	1	0	5000	gsg	gsg	0	16	0	0	1	1	flpgsg	invgsgc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	glg	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Emerald	Flawless Emerald	0	8	1	1	0	1	0	15000	glg	glg	0	16	0	0	1	1	flpgsg	invgsgd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpg	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255		 	0	0	0	0	0	0	0	0	0	0	0	0
Perfect Emerald	Perfect Emerald	0	9	1	1	0	1	0	30000	gpg	gpg	0	16	0	0	1	1	flpgsg	invgsge			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Ruby	Chipped Ruby	0	6	1	1	0	1	0	500	gcr	gcr	0	16	0	0	1	1	flpgsr	invgsra			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfr	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Ruby	Flawed Ruby	0	7	1	1	0	1	0	1500	gfr	gfr	0	16	0	0	1	1	flpgsr	invgsrb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsr	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Ruby	Ruby	0	8	1	1	0	1	0	5000	gsr	gsr	0	16	0	0	1	1	flpgsr	invgsrc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	glr	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Ruby	Flawless Ruby	0	9	1	1	0	1	0	15000	glr	glr	0	16	0	0	1	1	flpgsr	invgsrd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpr	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Perfect Ruby	Perfect Ruby	0	10	1	1	0	1	0	30000	gpr	gpr	0	16	0	0	1	1	flpgsr	invgsre			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Diamond	Chipped Diamond	0	7	1	1	0	1	0	500	gcw	gcw	0	16	0	0	1	1	flpgsw	invgswa			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gfw	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawed Diamond	Flawed Diamond	0	8	1	1	0	1	0	1500	gfw	gfw	0	16	0	0	1	1	flpgsw	invgswb			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gsw	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Diamond	Diamond	0	9	1	1	0	1	0	5000	gsw	gsw	0	16	0	0	1	1	flpgsw	invgswc			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	glw	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Flawless Diamond	Flawless Diamond	0	10	1	1	0	1	0	15000	glw	glw	0	16	0	0	1	1	flpgsw	invgswd			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	gpw	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Perfect Diamond	Perfect Diamond	0	11	1	1	0	1	0	30000	gpw	gpw	0	16	0	0	1	1	flpgsw	invgswe			0	xxx			0	0	20	9	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Lesser Healing Potion	Lesser Healing Potion	0	1	1	1	0	1	1	30	hp1	hp1	0	16	0	0	1	1	flprps	invhp1			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	8	16	0	0	255	0	0	0	0	255	4	8	0	0	255	2	4	0	0	255	0	0	0	0	255	0	0	0	0	255	2	4	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	4	0	0	255			0	0	0	0	0	0	0	0	3	4	0	0
Light Healing Potion	Light Healing Potion	0	1	1	1	0	1	1	75	hp2	hp2	0	16	0	0	1	1	flprps	invhp2			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	8	16	0	0	255	4	8	0	0	255	0	0	0	0	255	0	0	0	0	255	4	8	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	4	0	0	255			0	0	0	0	0	0	0	0	2	3	0	0
Healing Potion	Healing Potion	0	1	1	1	0	1	1	125	hp3	hp3	0	16	0	0	1	1	flprps	invhp3			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	8	16	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	4	8	0	0	255			0	0	0	0	0	0	0	0	1	2	0	0
Strong Healing Potion	Strong Healing Potion	0	1	1	1	0	1	1	250	hp4	hp4	0	16	0	0	1	1	flprpl	invhp4			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	8	16	0	0	255			0	0	0	0	0	0	0	0	0	1	0	0
Greater Healing Potion	Greater Healing Potion	0	1	1	1	0	1	1	500	hp5	hp5	0	16	0	0	1	1	flprpl	invhp5			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Lesser Mana Potion	Lesser Mana Potion	0	1	1	1	0	1	1	30	mp1	mp1	0	16	0	0	1	1	flpbps	invmp1			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Light Mana Potion	Light Mana Potion	0	1	1	1	0	1	1	75	mp2	mp2	0	16	0	0	1	1	flpbps	invmp2			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Mana Potion	Mana Potion	0	1	1	1	0	1	1	125	mp3	mp3	0	16	0	0	1	1	flpbps	invmp3			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Strong Mana Potion	Strong Mana Potion	0	1	1	1	0	1	1	250	mp4	mp4	0	16	0	0	1	1	flpbpl	invmp4			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Greater Mana Potion	Greater Mana Potion	0	1	1	1	0	1	1	500	mp5	mp5	0	16	0	0	1	1	flpbpl	invmp5			0	xxx			1	0	9	22	0	0	5	0	0	1	1	0	0	0	0	0	-1	0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
Chipped Skull	Chipped Skull	1	8	1	1	0	1	0	1000	skc	skc	0	16	0	0	1	1	flpskl	invskc			0	xxx			0	0	20	19	0	0	5	0	0	0	0	0	0	0	0	0	-1	0	0	0	skf	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	0	0	0	0	0	0	0	0	0
